L 06/16/2021 - 15:44:14: SourceMod log file session started (file "D:\Steam\steamapps\common\Left 4 Dead 2\left4dead2\addons\sourcemod\logs\L20210616.log") (Version "1.10.0.6492")
L 06/16/2021 - 15:44:14: [simplewelcomemsg.smx] Set the maximum number of lines of.
L 06/16/2021 - 15:44:18: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_force_time_of_day") (value "0")
L 06/16/2021 - 15:44:18: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_witch_damage_per_kill_hit") (value "120")
L 06/16/2021 - 15:44:18: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_witch_anger_rate") (value "0.4")
L 06/16/2021 - 15:44:18: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_witch_flashlight_range") (value "2000")
L 06/16/2021 - 15:44:18: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_witch_burn_time") (value "100")
L 06/16/2021 - 15:44:18: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_tank_health") (value "4000")
L 06/16/2021 - 15:44:18: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_ghost_delay_min") (value "15")
L 06/16/2021 - 15:44:18: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_ghost_delay_max") (value "15")
L 06/16/2021 - 15:44:18: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_hunter_limit") (value "1")
L 06/16/2021 - 15:44:18: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_smoker_limit") (value "1")
L 06/16/2021 - 15:44:18: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_jockey_limit") (value "1")
L 06/16/2021 - 15:44:18: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "versus_tank_chance_intro") (value "1")
L 06/16/2021 - 15:44:18: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "versus_tank_chance_finale") (value "1")
L 06/16/2021 - 15:44:18: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "versus_tank_chance") (value "1")
L 06/16/2021 - 15:44:18: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "versus_witch_chance_intro") (value "0")
L 06/16/2021 - 15:44:18: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "versus_witch_chance_finale") (value "0")
L 06/16/2021 - 15:44:18: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "versus_witch_chance") (value "1")
L 06/16/2021 - 15:44:18: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "director_force_tank") (value "1")
L 06/16/2021 - 15:44:18: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "versus_boss_flow_min") (value "0.4")
L 06/16/2021 - 15:44:18: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "versus_boss_flow_max") (value "0.6")
L 06/16/2021 - 15:44:18: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "versus_boss_flow_min_intro") (value "0.1")
L 06/16/2021 - 15:44:18: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "versus_boss_flow_max_intro") (value "0.2")
L 06/16/2021 - 15:44:18: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "versus_boss_flow_min_finale") (value "0.1")
L 06/16/2021 - 15:44:18: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "versus_boss_flow_max_finale") (value "0.2")
L 06/16/2021 - 15:44:18: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "boomer_vomit_delay") (value "0.1")
L 06/16/2021 - 15:44:18: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "smoker_tongue_delay") (value "0.1")
